0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.780654150204539,-0.13355781271331346,-0.7318162027004032,-0.014214597136543494,-0.15197619244289695,-0.23111739886562488,-0.5369596789499177,-0.9556067110301543,-0.6263811016472904,-0.5650371567486859
-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5360050321426983,-0.6373787754567346,-0.47177096815522246,-0.11529456135619154,-0.7586550757594328,-0.8997601802534662,-0.1282433677505901,-0.6853940948160095,-0.31013648113420567,-0.035495297088877775
-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.39840924401041466,-0.6497424626433552,-0.6653190543665201,-0.19171109647290419,-0.29234335958586966,-0.34630360490986434,-0.8730621376258371,-0.016622798215038648,-0.09546007214548768,-0.32765946192967466
-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.13085587447151492,-0.5486804134737994,-0.7227376809432163,-0.006258774220632257,-0.22688159302958177,-0.7163143127968945,-0.27183230338002395,-0.03773862424863672,-0.0734942759630447,-0.9221236077354885
-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6888438548328313,-0.022743024616635577,-0.05299401920750901,-0.5999621120073935,-0.004313970510958609,-0.38942848781930983,-0.31021934560795483,-0.7789290853431501,-0.8207130889104929,-0.21568092777927172
-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.5302587270758387,-0.4868060443373611,-0.2160117617534224,-0.06743287684126442,-0.12860709565673734,-0.687910074795739,-0.13913158987379215,-0.481673927460742,-0.9064450944981667,-0.8036947463585145
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.9039398478269536,-0.3107381025666174,-0.358021357882922,-0.1745941303923345,-0.16239791092647038,-0.6577387380981787,-0.9919944345971767,-0.041223030963488894,-0.7954648270258518,-0.35145137035933494
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.4174566912636879,-0.384760727098171,-0.08983742992583066,-0.6021861292126337,-0.8988217297689909,-0.3058644587785412,-0.9354675336641131,-0.39836678089728883,-0.354799702194708,-0.41948741168935166
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.016215291392506326,-0.2938647896611364,-0.9854424864103597,-0.5704709292566272,-0.8066204625629857,-0.47851641456634286,-0.9919251925510083,-0.12544893947271418,-0.45615591715899384,-0.4638773194364064
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.20824691268591833,-0.7960181689862977,-0.719628861583346,-0.3859186886843545,-0.34369002985449626,-0.23232499770603177,-0.2554366599663459,-0.06680596758505597,-0.6001193292132474,-0.05971939087579514
0.780654150204539,0.5360050321426983,0.39840924401041466,0.13085587447151492,0.6888438548328313,0.5302587270758387,0.9039398478269536,0.4174566912636879,0.016215291392506326,0.20824691268591833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13355781271331346,0.6373787754567346,0.6497424626433552,0.5486804134737994,0.022743024616635577,0.4868060443373611,0.3107381025666174,0.384760727098171,0.2938647896611364,0.7960181689862977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7318162027004032,0.47177096815522246,0.6653190543665201,0.7227376809432163,0.05299401920750901,0.2160117617534224,0.358021357882922,0.08983742992583066,0.9854424864103597,0.719628861583346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.014214597136543494,0.11529456135619154,0.19171109647290419,0.006258774220632257,0.5999621120073935,0.06743287684126442,0.1745941303923345,0.6021861292126337,0.5704709292566272,0.3859186886843545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15197619244289695,0.7586550757594328,0.29234335958586966,0.22688159302958177,0.004313970510958609,0.12860709565673734,0.16239791092647038,0.8988217297689909,0.8066204625629857,0.34369002985449626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
